eq,parm,estimate,stderr,z,p,min95,max95
1897,1893.end_year,0,0,,,0,0
1897,1894.end_year,0,0,,,0,0
1897,1895.end_year,0,0,,,0,0
1897,1896.end_year,0,0,,,0,0
1897,1897.end_year,0,0,,,0,0
1897,1898.end_year,0,0,,,0,0
1897,1899.end_year,0,0,,,0,0
1897,1900.end_year,0,0,,,0,0
1897,1901.end_year,0,0,,,0,0
1897,1902.end_year,0,0,,,0,0
1897,1903.end_year,0,0,,,0,0
1897,1904.end_year,0,0,,,0,0
1897,1905.end_year,.2000000043348833,.1788854381999832,1.118034012982629,.2635524669337336,-.1506090118957493,.5506090205655159
1897,1906.end_year,.2000000043348833,.1788854381999832,1.118034012982629,.2635524669337336,-.1506090118957493,.5506090205655159
1897,1907.end_year,.2000000043348833,.1788854381999832,1.118034012982629,.2635524669337336,-.1506090118957493,.5506090205655159
1897,1908.end_year,.2000000043348833,.1788854381999832,1.118034012982629,.2635524669337336,-.1506090118957493,.5506090205655159
1897,1909.end_year,.2000000043348833,.1788854381999832,1.118034012982629,.2635524669337336,-.1506090118957493,.5506090205655159
1897,1910.end_year,.2000000043348833,.1788854381999832,1.118034012982629,.2635524669337336,-.1506090118957493,.5506090205655159
1897,1911.end_year,.2000000043348833,.1788854381999832,1.118034012982629,.2635524669337336,-.1506090118957493,.5506090205655159
1897,1912.end_year,.2000000043348833,.1788854381999832,1.118034012982629,.2635524669337336,-.1506090118957493,.5506090205655159
1897,1913.end_year,0,0,,,0,0
1897,1914.end_year,0,0,,,0,0
1897,1915.end_year,0,0,,,0,0
1897,1916.end_year,0,0,,,0,0
1897,1917.end_year,0,0,,,0,0
1897,1918.end_year,0,0,,,0,0
1897,1919.end_year,0,0,,,0,0
1897,1920.end_year,0,0,,,0,0
1897,1921.end_year,0,0,,,0,0
1897,1922.end_year,0,0,,,0,0
1897,1923.end_year,0,0,,,0,0
1897,1924.end_year,0,0,,,0,0
1897,1925.end_year,0,0,,,0,0
1897,1926.end_year,0,0,,,0,0
1897,1927.end_year,0,0,,,0,0
1897,1928.end_year,0,0,,,0,0
1897,1929.end_year,0,0,,,0,0
1897,1930.end_year,0,0,,,0,0
1897,1931.end_year,0,0,,,0,0
1897,1932.end_year,0,0,,,0,0
1897,1933.end_year,0,0,,,0,0
1897,1934.end_year,0,0,,,0,0
1897,1935.end_year,0,0,,,0,0
1897,1936.end_year,0,0,,,0,0
1897,1937.end_year,0,0,,,0,0
1897,1938.end_year,0,0,,,0,0
1897,1939.end_year,0,0,,,0,0
1897,1940.end_year,0,0,,,0,0
1897,1941.end_year,0,0,,,0,0
1897,1942.end_year,0,0,,,0,0
1897,1943.end_year,0,0,,,0,0
1897,1944.end_year,0,0,,,0,0
1897,1945.end_year,0,0,,,0,0
1897,1946.end_year,0,0,,,0,0
1897,1947.end_year,0,0,,,0,0
1897,1948.end_year,0,0,,,0,0
1897,1949.end_year,0,0,,,0,0
1897,1950.end_year,0,0,,,0,0
1897,1951.end_year,0,0,,,0,0
1897,1952.end_year,0,0,,,0,0
1897,1953.end_year,0,0,,,0,0
1897,1954.end_year,0,0,,,0,0
1897,1955.end_year,0,0,,,0,0
1897,1956.end_year,0,0,,,0,0
1897,1957.end_year,0,0,,,0,0
1897,1958.end_year,0,0,,,0,0
1897,1959.end_year,0,0,,,0,0
1897,1960.end_year,0,0,,,0,0
1897,1961.end_year,0,0,,,0,0
1897,1962.end_year,0,0,,,0,0
1897,1963.end_year,0,0,,,0,0
1897,1964.end_year,0,0,,,0,0
1897,1965.end_year,0,0,,,0,0
1897,1966.end_year,0,0,,,0,0
1897,1967.end_year,0,0,,,0,0
1897,1968.end_year,0,0,,,0,0
1897,1969.end_year,0,0,,,0,0
1897,1970.end_year,0,0,,,0,0
1897,1971.end_year,0,0,,,0,0
1897,1972.end_year,0,0,,,0,0
1897,1973.end_year,0,0,,,0,0
1897,1974.end_year,0,0,,,0,0
1897,1975.end_year,0,0,,,0,0
1897,1976.end_year,0,0,,,0,0
1897,1977.end_year,0,0,,,0,0
1897,1978.end_year,0,0,,,0,0
1897,1979.end_year,0,0,,,0,0
1897,1980.end_year,0,0,,,0,0
1897,1981.end_year,0,0,,,0,0
1897,1982.end_year,0,0,,,0,0
1897,1983.end_year,0,0,,,0,0
1897,1984.end_year,0,0,,,0,0
1897,1985.end_year,0,0,,,0,0
1897,1986.end_year,0,0,,,0,0
1897,1987.end_year,0,0,,,0,0
1897,1988.end_year,0,0,,,0,0
1897,1989.end_year,0,0,,,0,0
1897,1990.end_year,0,0,,,0,0
1897,1991.end_year,0,0,,,0,0
1897,1992.end_year,0,0,,,0,0
1897,1993.end_year,0,0,,,0,0
1897,1994.end_year,0,0,,,0,0
1897,1995.end_year,0,0,,,0,0
1897,1996.end_year,0,0,,,0,0
1897,1997.end_year,0,0,,,0,0
1897,1998.end_year,0,0,,,0,0
1897,1999.end_year,0,0,,,0,0
1897,2000.end_year,0,0,,,0,0
1897,2001.end_year,0,0,,,0,0
1897,2002.end_year,0,0,,,0,0
1897,2003.end_year,0,0,,,0,0
1897,2004.end_year,0,0,,,0,0
1897,2005.end_year,0,0,,,0,0
1897,2006.end_year,0,0,,,0,0
1897,2007.end_year,0,0,,,0,0
1897,2008.end_year,0,0,,,0,0
1897,2009.end_year,0,0,,,0,0
1897,2010.end_year,0,0,,,0,0
1897,2011.end_year,0,0,,,0,0
1897,2012.end_year,0,0,,,0,0
1897,2013.end_year,0,0,,,0,0
1897,2014.end_year,0,0,,,0,0
1897,2015.end_year,0,0,,,0,0
1897,2016.end_year,0,0,,,0,0
1897,2017.end_year,0,0,,,0,0
1897,2018.end_year,0,0,,,0,0
1897,2019.end_year,0,0,,,0,0
1897,2020.end_year,0,0,,,0,0
1897,2021.end_year,0,0,,,0,0
1897,2022.end_year,0,0,,,0,0
1897,2023.end_year,0,0,,,0,0
1897,2024.end_year,0,0,,,0,0
1899,1893.end_year,0,0,,,0,0
1899,1894.end_year,0,0,,,0,0
1899,1895.end_year,0,0,,,0,0
1899,1896.end_year,0,0,,,0,0
1899,1897.end_year,0,0,,,0,0
1899,1898.end_year,0,0,,,0,0
1899,1899.end_year,0,0,,,0,0
1899,1900.end_year,0,0,,,0,0
1899,1901.end_year,0,0,,,0,0
1899,1902.end_year,0,0,,,0,0
1899,1903.end_year,0,0,,,0,0
1899,1904.end_year,0,0,,,0,0
1899,1905.end_year,0,0,,,0,0
1899,1906.end_year,0,0,,,0,0
1899,1907.end_year,0,0,,,0,0
1899,1908.end_year,0,0,,,0,0
1899,1909.end_year,0,0,,,0,0
1899,1910.end_year,0,0,,,0,0
1899,1911.end_year,0,0,,,0,0
1899,1912.end_year,0,0,,,0,0
1899,1913.end_year,0,0,,,0,0
1899,1914.end_year,0,0,,,0,0
1899,1915.end_year,0,0,,,0,0
1899,1916.end_year,0,0,,,0,0
1899,1917.end_year,0,0,,,0,0
1899,1918.end_year,0,0,,,0,0
1899,1919.end_year,0,0,,,0,0
1899,1920.end_year,0,0,,,0,0
1899,1921.end_year,0,0,,,0,0
1899,1922.end_year,0,0,,,0,0
1899,1923.end_year,0,0,,,0,0
1899,1924.end_year,0,0,,,0,0
1899,1925.end_year,0,0,,,0,0
1899,1926.end_year,0,0,,,0,0
1899,1927.end_year,0,0,,,0,0
1899,1928.end_year,0,0,,,0,0
1899,1929.end_year,0,0,,,0,0
1899,1930.end_year,0,0,,,0,0
1899,1931.end_year,0,0,,,0,0
1899,1932.end_year,0,0,,,0,0
1899,1933.end_year,0,0,,,0,0
1899,1934.end_year,0,0,,,0,0
1899,1935.end_year,0,0,,,0,0
1899,1936.end_year,0,0,,,0,0
1899,1937.end_year,0,0,,,0,0
1899,1938.end_year,0,0,,,0,0
1899,1939.end_year,0,0,,,0,0
1899,1940.end_year,0,0,,,0,0
1899,1941.end_year,0,0,,,0,0
1899,1942.end_year,0,0,,,0,0
1899,1943.end_year,0,0,,,0,0
1899,1944.end_year,0,0,,,0,0
1899,1945.end_year,0,0,,,0,0
1899,1946.end_year,0,0,,,0,0
1899,1947.end_year,0,0,,,0,0
1899,1948.end_year,0,0,,,0,0
1899,1949.end_year,0,0,,,0,0
1899,1950.end_year,0,0,,,0,0
1899,1951.end_year,0,0,,,0,0
1899,1952.end_year,0,0,,,0,0
1899,1953.end_year,0,0,,,0,0
1899,1954.end_year,0,0,,,0,0
1899,1955.end_year,0,0,,,0,0
1899,1956.end_year,0,0,,,0,0
1899,1957.end_year,0,0,,,0,0
1899,1958.end_year,0,0,,,0,0
1899,1959.end_year,0,0,,,0,0
1899,1960.end_year,0,0,,,0,0
1899,1961.end_year,0,0,,,0,0
1899,1962.end_year,0,0,,,0,0
1899,1963.end_year,0,0,,,0,0
1899,1964.end_year,0,0,,,0,0
1899,1965.end_year,0,0,,,0,0
1899,1966.end_year,0,0,,,0,0
1899,1967.end_year,0,0,,,0,0
1899,1968.end_year,0,0,,,0,0
1899,1969.end_year,0,0,,,0,0
1899,1970.end_year,0,0,,,0,0
1899,1971.end_year,0,0,,,0,0
1899,1972.end_year,0,0,,,0,0
1899,1973.end_year,0,0,,,0,0
1899,1974.end_year,0,0,,,0,0
1899,1975.end_year,0,0,,,0,0
1899,1976.end_year,0,0,,,0,0
1899,1977.end_year,0,0,,,0,0
1899,1978.end_year,0,0,,,0,0
1899,1979.end_year,0,0,,,0,0
1899,1980.end_year,0,0,,,0,0
